# STN;YYYYMMDD;wind;rain;snow;tunder;ice;covid_shock
240;20190101;60;0;0;0;0;0
240;20190101;70;0;0;0;0;0
240;20190101;70;0;0;0;0;0
240;20190101;80;0;0;0;0;0
240;20190101;90;1;0;0;0;0
240;20190101;80;0;0;0;0;0
240;20190101;80;1;0;0;0;0
240;20190101;70;1;0;0;0;0
240;20190101;60;1;0;0;0;0
240;20190101;50;1;0;0;0;0
240;20190101;60;1;0;0;0;0
240;20190101;80;0;0;0;0;0
240;20190101;80;0;0;0;0;0
240;20190101;90;0;0;0;0;0
240;20190101;80;1;0;0;0;0
240;20190101;80;1;0;0;0;0
240;20190101;80;0;0;0;0;0
240;20190101;60;1;0;0;0;0
240;20190101;90;1;0;0;0;0
240;20190101;70;1;0;0;0;0
240;20190101;80;0;0;0;0;0
240;20190101;70;1;0;0;0;0
240;20190101;80;1;0;0;0;0
240;20190101;70;1;0;0;0;0
240;20190102;60;0;0;0;0;0
240;20190102;80;0;0;0;0;0
240;20190102;80;0;0;0;0;0
240;20190102;70;0;0;0;0;0
240;20190102;80;0;0;0;0;0
240;20190102;50;1;0;0;0;0
240;20190102;50;1;0;0;0;0
240;20190102;60;1;0;0;0;0
240;20190102;60;1;0;0;0;0
240;20190102;50;0;0;0;0;0
240;20190102;50;0;0;0;0;0
240;20190102;60;0;0;0;0;0
240;20190102;50;0;0;0;0;0
240;20190102;50;0;0;0;0;0
240;20190102;50;0;0;0;0;0
240;20190102;30;0;0;0;0;0
240;20190102;40;0;0;0;0;0
240;20190102;40;1;0;0;0;0
240;20190102;30;1;0;0;0;0
240;20190102;30;0;0;0;0;0
240;20190102;20;0;0;0;0;0
240;20190102;30;0;0;0;0;0
240;20190102;30;1;0;0;0;0
240;20190102;30;0;0;0;0;0
240;20190103;20;0;0;0;0;0
240;20190103;20;0;0;0;0;0
240;20190103;30;1;0;0;0;0
240;20190103;20;0;0;0;0;0
240;20190103;20;1;0;0;0;0
240;20190103;20;1;0;0;0;0
240;20190103;20;0;0;0;0;0
240;20190103;20;1;0;0;0;0
240;20190103;20;0;0;0;0;0
240;20190103;20;0;0;0;0;0
240;20190103;30;0;0;0;0;0
240;20190103;50;1;0;0;0;0
240;20190103;40;1;0;0;0;0
240;20190103;50;1;0;0;0;0
240;20190103;30;0;0;0;0;0
240;20190103;20;0;0;0;0;0
240;20190103;20;0;0;0;0;0
240;20190103;20;0;0;0;0;0
240;20190103;30;0;0;0;0;0
240;20190103;20;0;0;0;0;0
240;20190103;10;0;0;0;0;0
240;20190103;10;0;0;0;0;0
240;20190103;0;0;0;0;0;0
240;20190103;20;0;0;0;0;0
240;20190104;20;0;0;0;0;0
240;20190104;10;0;0;0;0;0
240;20190104;20;1;0;0;0;0
240;20190104;20;1;0;0;0;0
240;20190104;50;1;0;0;0;0
240;20190104;50;0;0;0;0;0
240;20190104;40;0;0;0;0;0
240;20190104;50;0;0;0;0;0
240;20190104;40;0;0;0;0;0
240;20190104;60;0;0;0;0;0
240;20190104;70;0;0;0;0;0
240;20190104;70;0;0;0;0;0
240;20190104;50;0;0;0;0;0
240;20190104;60;0;0;0;0;0
240;20190104;60;0;0;0;0;0
240;20190104;50;0;0;0;0;0
240;20190104;50;0;0;0;0;0
240;20190104;40;0;0;0;0;0
240;20190104;40;0;0;0;0;0
240;20190104;50;0;0;0;0;0
240;20190104;40;0;0;0;0;0
240;20190104;40;0;0;0;0;0
240;20190104;40;0;0;0;0;0
